timestamp,Kp,Ki,Kd,yaw_error,steer_correction,acelerador,brake,target_y,vehicle_y,target_x,vehicle_x,eror_x,error_y
02-07-2025 12:11:14.272,0.05,0.001,0.02,0.023958742363331176,-0.003266576001473998,0.5,0,117.6408920288086,129.43438720703125,0.0,118.26895141601562,-0.6280593872070312,-0.012237548828125
02-07-2025 12:11:14.290,0.05,0.001,0.02,0.024567491416149778,-0.0029666911078442618,0.5,0,117.6408920288086,129.43402099609375,0.0,118.22611999511719,-0.5852279663085938,-0.011871337890625
02-07-2025 12:11:14.309,0.05,0.001,0.02,0.025461062796640732,-0.002579801394566281,0.5,0,117.6408920288086,129.43373107910156,0.0,118.18321228027344,-0.5423202514648438,-0.0115814208984375
02-07-2025 12:11:14.327,0.05,0.001,0.02,0.026689889878498185,-0.0021156083673356347,0.5,0,117.6408920288086,129.43350219726562,0.0,118.14025115966797,-0.499359130859375,-0.0113525390625
02-07-2025 12:11:14.346,0.05,0.001,0.02,0.028311242903493294,-0.0015630377302722996,0.5,0,117.6408920288086,129.43333435058594,0.0,118.09745788574219,-0.45656585693359375,-0.0111846923828125
02-07-2025 12:11:14.364,0.05,0.001,0.02,0.03037314123361945,-0.0009307822285881764,0.5,0,117.6408920288086,129.43319702148438,0.0,118.05484008789062,-0.41394805908203125,-0.01104736328125
02-07-2025 12:11:14.383,0.05,0.001,0.02,0.03302322070908126,-9.191049340048383e-05,0.5,0,117.6408920288086,129.43309020996094,0.0,118.012451171875,-0.37155914306640625,-0.0109405517578125
02-07-2025 12:11:14.402,0.05,0.001,0.02,0.03642410989990985,0.0009797126930794191,0.5,0,117.6408920288086,129.43299865722656,0.0,117.97019958496094,-0.32930755615234375,-0.0108489990234375
02-07-2025 12:11:14.421,0.05,0.001,0.02,0.04097878064517779,0.002592667075347453,0.5,0,117.6408920288086,129.43295288085938,0.0,117.9281005859375,-0.28720855712890625,-0.01080322265625
02-07-2025 12:11:14.439,0.05,0.001,0.02,0.047189603911443,0.004891377757255958,0.5,0,117.6408920288086,129.43292236328125,0.0,117.88609313964844,-0.24520111083984375,-0.010772705078125
02-07-2025 12:11:14.458,0.05,0.001,0.02,0.05586969021912225,0.008289428883840419,0.5,0,117.6408920288086,129.432861328125,0.0,117.84420013427734,-0.20330810546875,-0.010711669921875
02-07-2025 12:11:14.476,0.05,0.001,0.02,0.06921748453466492,0.014559221833795906,0.5,0,117.6408920288086,129.43283081054688,0.0,117.8023681640625,-0.16147613525390625,-0.01068115234375
02-07-2025 12:11:14.495,0.05,0.001,0.02,0.09190918492101918,0.026908025957836215,0.5,0,117.6408920288086,129.4328155517578,0.0,117.76057434082031,-0.11968231201171875,-0.0106658935546875
02-07-2025 12:11:14.513,0.05,0.001,0.02,0.13723570973194654,0.05633842876969916,0.5,0,117.6408920288086,129.43270874023438,0.0,117.71903991699219,-0.07814788818359375,-0.01055908203125
02-07-2025 12:11:14.533,0.05,0.001,0.02,0.27954187968729993,0.1798339704721062,0.5,0,117.6408920288086,129.43247985839844,0.0,117.67726135253906,-0.03636932373046875,-0.0103302001953125
02-07-2025 12:11:14.552,0.05,0.001,0.02,2.084771570259842,1.0,0.5,0,117.6408920288086,129.43212890625,0.0,117.63529205322266,0.0055999755859375,-0.009979248046875
02-07-2025 12:11:14.570,0.05,0.001,0.02,2.9491670480052097,1.0,0.5,0,117.6408920288086,129.4315643310547,0.0,117.59317016601562,0.04772186279296875,-0.0094146728515625
02-07-2025 12:11:14.589,0.05,0.001,0.02,3.047937363024804,0.26614541664909214,0.5,0,117.6408920288086,129.4307861328125,0.0,117.5509033203125,0.08998870849609375,-0.008636474609375
02-07-2025 12:11:14.608,0.05,0.001,0.02,3.085866605085606,0.19508402231166574,0.5,0,117.6408920288086,129.42974853515625,0.0,117.50856018066406,0.13233184814453125,-0.007598876953125
02-07-2025 12:11:14.628,0.05,0.001,0.02,3.106547059685788,0.17547127587325925,0.5,0,117.6408920288086,129.428466796875,0.0,117.46627044677734,0.17462158203125,-0.006317138671875
02-07-2025 12:11:14.647,0.05,0.001,0.02,3.1204195551392635,0.16804735666247114,0.5,0,117.6408920288086,129.42686462402344,0.0,117.42391967773438,0.21697235107421875,-0.0047149658203125
02-07-2025 12:11:14.666,0.05,0.001,0.02,3.130127122496437,0.163586990100142,0.5,0,117.6408920288086,129.42507934570312,0.0,117.38187408447266,0.2590179443359375,-0.0029296875
02-07-2025 12:11:14.685,0.05,0.001,0.02,3.1378140299204027,0.16159884045198986,0.5,0,117.6408920288086,129.4230194091797,0.0,117.33968353271484,0.30120849609375,-0.0008697509765625
02-07-2025 12:11:14.704,0.05,0.001,0.02,-3.1394265635898755,-1.0,0.5,0,117.6408920288086,129.42080688476562,0.0,117.297607421875,0.34328460693359375,0.0013427734375
02-07-2025 12:11:14.723,0.05,0.001,0.02,-3.134668987071352,-0.15564507574330663,0.5,0,117.6408920288086,129.41848754882812,0.0,117.25538635253906,0.38550567626953125,0.003662109375
02-07-2025 12:11:14.741,0.05,0.001,0.02,-3.1312646711287275,-0.1571509603817725,0.5,0,117.6408920288086,129.41624450683594,0.0,117.21327209472656,0.42761993408203125,0.0059051513671875
02-07-2025 12:11:14.760,0.05,0.001,0.02,-3.1286715823595515,-0.1580469230778247,0.5,0,117.6408920288086,129.41409301757812,0.0,117.17121887207031,0.46967315673828125,0.008056640625
02-07-2025 12:11:14.779,0.05,0.001,0.02,-3.1271943530299815,-0.1593642128447574,0.5,0,117.6408920288086,129.41221618652344,0.0,117.1292724609375,0.5116195678710938,0.0099334716796875
02-07-2025 12:11:14.798,0.05,0.001,0.02,-3.126181610924423,-0.15992306343514184,0.5,0,117.6408920288086,129.4105224609375,0.0,117.08747863769531,0.5534133911132812,0.011627197265625
02-07-2025 12:11:14.817,0.05,0.001,0.02,-3.1259852424013364,-0.16094499306199395,0.5,0,117.6408920288086,129.40916442871094,0.0,117.04582977294922,0.595062255859375,0.0129852294921875
